pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
TOI-4734 b,6.235633,0.074,10.9175472,61.65871096,0.12,775.0,1468.0,6070.0,1.857,1.391,0.288,4.046
TOI-4773 b,1.7452851,0.03216,15.22179579,1687.66884117,0.024,,2255.0,6740.0,1.55,1.452,0.11,4.22
TOI-4791 b,4.28088,0.0555,12.44196858,734.18362017,0.0,783.2,1472.0,6058.0,1.409,1.242,0.207,4.234
TOI-4794 b,3.5658116,0.0492,14.35870428,308.29355479,0.1,1310.0,1673.0,6390.0,1.451,1.25,-0.102,4.215
TOI-480 b,6.866196,0.077,2.85372018,20.8,0.0,,1198.94,6174.0,1.4877,1.2793,0.164,4.194
TOI-481 b,10.33111,0.097,11.09691,486.2799,0.153,,1370.0,5735.0,1.66,1.14,0.26,4.06
TOI-4860 b,1.5227591,0.01808,8.7,86.7,0.008,42.5,694.0,3260.0,0.358,0.34,0.27,4.86
TOI-4914 b,10.60057,0.098,12.87,227.0,0.408,,894.0,5805.0,1.0,1.03,-0.13,4.3
TOI-4940 b,25.867811,0.165,6.61,89.0,,,643.0,5504.0,1.163,1.012,0.326,4.232
TOI-4961 b,7.479182,0.0726,12.34108775,572.0911326,0.182,115.0,919.0,5380.0,0.912,0.912,0.206,4.479
TOI-4994 b,21.491984,0.1515,8.54124329,88.99195396,0.319,40.0,717.6,5640.0,1.055,1.005,0.165,4.393
TOI-500 b,0.548177,0.01189,1.166,1.42,0.063,1138.0,1617.0,4440.0,0.678,0.74,0.12,4.618
TOI-5005 b,6.3085044,0.06614,6.25,32.7,,226.0,1040.0,5749.0,0.93,0.97,0.15,4.43
TOI-5007 b,2.543371,0.0307,11.07447293,211.03806225,0.074,85.3,774.0,3793.0,0.656,0.632,0.43,4.604
TOI-5027 b,10.24368,0.093,10.76062147,642.01338214,0.385,,1056.0,5909.0,0.92,1.02,-0.15,4.517
TOI-5076 b,23.443162,0.1481,3.48935569,16.14568308,0.0,,550.0,4780.0,0.844,0.789,0.082,4.483
TOI-5082.01,4.240122,0.051204842,2.54811,,,254.588,1164.91,5670.0,0.93,0.99665,,4.5
TOI-5108 b,6.753581,0.073,6.6,32.0,,,1180.0,5808.0,1.29,1.1,0.2,4.26
TOI-5110 b,30.158577,0.2157,11.98240037,921.7023803,0.745,,976.0,6160.0,2.333,1.469,0.065,3.869
TOI-512 b,7.18886,,1.54,3.57,0.02,127.0,1009.0,5277.0,0.89,0.74,-0.11,4.35
TOI-5126 b,5.4588385,0.06519,4.74,,0.0,467.0,1442.0,6150.0,1.241,1.24,0.18,4.224
TOI-5126 c,17.8999,0.1439,3.86,,0.0,96.0,971.0,6150.0,1.241,1.24,0.18,4.224
TOI-5143 c,5.2097118,0.05602,16.25302201,,,,,5183.0,0.852,0.864,0.107,4.514
TOI-5153 b,20.33003,0.158,11.88151954,1036.12060682,0.091,,906.0,6300.0,1.4,1.24,0.12,4.3
TOI-5181 A b,3.8922295,0.0522,13.34989601,330.54154328,0.15,1053.0,1585.0,6060.0,1.53,1.25,0.208,4.163
TOI-519 b,1.2652328,0.0159,11.54525012,147.15455244,0.33,,687.0,3322.0,0.35,0.335,0.27,4.87
TOI-5205 b,1.630757,0.0199,11.6,343.0,0.02,49.0,737.0,3430.0,0.394,0.392,0.0,4.84
TOI-521 b,1.54285047,0.0195,1.98,5.3,0.0,66.0,794.0,3544.0,0.421,0.42,-0.12,4.97
TOI-5210 b,4.5661061,0.0557,10.72699453,81.99972901,0.066,456.0,1286.0,5723.0,1.209,1.105,0.324,4.319
TOI-5218 b,4.291452,0.0469,9.86,657.0,0.0,62.0,783.0,4230.0,0.708,0.739,0.41,4.63
TOI-5232 b,4.0966692,0.05593,12.778238,743.71847238,0.035,,1772.0,6500.0,1.785,1.389,-0.104,4.077
TOI-5261 b,4.1509768,0.05134,11.60129502,3651.84839643,0.1585,,1244.0,5790.0,1.021,1.037,0.254,4.436
TOI-5292 A b,2.02191,0.0279,12.64373023,412.85910069,0.034,102.0,809.0,3919.0,0.611,0.596,0.33,4.642
TOI-5293 A b,2.930289,0.034,11.9,170.4,0.38,34.6,675.0,3586.0,0.52,0.54,-0.03,4.77
TOI-530 b,6.387597,0.052,9.30345398,127.1313628,0.0,,565.0,3659.0,0.54,0.53,0.376,4.7
TOI-5300 b,2.262196,0.0295,9.86390302,190.6970442,0.0,198.0,1043.0,4610.0,0.65,0.67,-0.17,4.64
TOI-5301 b,5.858858,0.073,13.09208946,1182.32167404,0.33,,1648.0,6240.0,2.19,1.483,0.03,3.926
TOI-5319 b,4.07853,0.0506,2.83,,,,695.0,3580.0,0.485,0.5,,4.5
TOI-532 b,2.3266508,0.0296,5.82,61.5,0.0,94.1,867.0,3927.0,0.612,0.639,0.338,4.669
TOI-5322 b,5.4233207,0.0604,16.6117094,184.02264765,0.055,554.0,1350.0,5692.0,1.462,0.998,-0.048,4.11
TOI-5340 b,4.9394392,0.0628,15.07607904,270.15414595,0.13,1004.0,1566.0,5990.0,1.842,1.35,0.208,4.036
TOI-5344 b,3.792622,0.04041,10.60369574,130.94530368,0.054,38.0,689.0,3747.0,0.588,0.612,0.425,4.686
TOI-5349 b,3.317921,0.0369,10.2,127.4,0.03,44.5,719.0,3751.0,0.58,0.61,0.5,4.72
TOI-5350 b,7.581367,0.0796,12.41955062,2094.48920213,0.0165,,1195.0,6220.0,1.263,1.167,0.044,4.304
TOI-5386 A b,3.62156552,0.04856,14.70618268,155.10026262,0.072,817.0,1488.0,6094.0,1.245,1.165,0.182,4.314
TOI-5388.01,2.5946748,,0.99,2.2,,,488.0,3440.0,0.3,0.292,-0.36,4.99
TOI-5398 b,10.590547,0.098,10.3,58.7,0.13,,947.0,6000.0,1.051,1.146,0.09,4.44
TOI-5398 c,4.77271,0.057,3.52,11.8,0.14,,1242.0,6000.0,1.051,1.146,0.09,4.44
TOI-540 b,1.2391491,0.01223,0.903,,0.0,23.4,611.0,3216.0,0.1895,0.159,,
TOI-5422 b,5.377219,0.0619,9.10169233,8899.195396,0.094,580.0,1369.0,5820.0,1.474,1.066,-0.012,4.135
TOI-544 b,1.548352,0.0225,2.018,2.89,0.0,,999.0,4169.0,0.623,0.631,-0.17,4.68
TOI-5542 b,75.12375,0.332,11.30986153,419.53349724,0.018,9.6,441.0,5700.0,1.058,0.89,-0.21,4.2
TOI-5573 b,8.79758977,0.0712,9.75,112.0,0.072,12.92,528.0,3790.0,0.594,0.619,0.42,4.68
TOI-558 b,14.574071,0.1291,12.17295304,1147.36054927,0.298,,1061.0,6466.0,1.496,1.349,-0.004,4.218
TOI-559 b,6.9839095,0.0723,12.22899794,1910.14872607,0.151,,1180.0,5925.0,1.233,1.026,-0.069,4.268
TOI-5592 b,2.6085846,0.03935,17.14974047,285.72773789,0.062,1712.0,1789.0,6237.0,1.393,1.194,-0.013,4.226
TOI-561 b,0.4465697,0.01064,1.397,2.02,0.0,4709.0,2319.0,,0.843,0.806,,
TOI-561 c,10.778838,0.0889,2.865,5.93,0.023,67.5,802.0,,0.843,0.806,,
TOI-561 d,25.71268,0.1587,2.615,13.33,0.111,21.2,600.0,,0.843,0.806,,
TOI-561 e,77.144,0.33,2.517,12.4,0.074,4.89,416.0,,0.843,0.806,,
TOI-5616 b,2.002849,0.0272,10.78,624.0,0.0,137.0,939.0,3996.0,0.646,0.666,0.14,4.67
TOI-5624 b,3.3903473,0.04201,2.314,9.4,0.0,,1136.0,5327.0,0.82,0.858,-0.023,4.49
TOI-5624 c,7.885385,0.07374,2.474,4.8,0.0,,857.0,5327.0,0.82,0.858,-0.023,4.49
TOI-5624 d,13.731468,0.1067,3.584,4.9,0.0,,712.6,5327.0,0.82,0.858,-0.023,4.49
TOI-5624 e,21.489936,0.1439,3.247,8.9,0.0,,613.8,5327.0,0.82,0.858,-0.023,4.49
TOI-5634 A b,2.2035373,0.0272,10.42,588.0,0.0,77.0,837.0,3896.0,0.54,0.556,-0.27,4.73
TOI-564 b,1.651144,0.02734,11.43318,464.98529,0.072,1423.0,1714.0,5640.0,1.088,0.998,0.143,4.364
TOI-5678 b,47.73022,0.249,4.91,20.0,0.14,,513.0,5485.0,0.938,0.905,0.0,4.34
TOI-5688 A b,2.94815527,0.03379,10.3,124.0,0.128,50.3,742.0,3713.0,0.57,0.6,0.47,4.69
TOI-5704 b,3.771116,,3.2274,,,,949.07,4590.0,0.7575,0.73,0.428,4.543
TOI-5713 b,10.441989,0.06008,1.77,,0.24,2.2554,347.2,3225.0,0.2992,0.2653,-0.03,4.91
TOI-5720 b,1.4344555,0.018288,1.09,4.3,,41.7,708.0,3325.0,0.383,0.383,0.03,5.01
TOI-5734 b,6.1841876,0.05921,2.1,9.1,,,688.0,4750.0,0.639,0.724,-0.13,4.66
TOI-5786 b,12.779107,0.114,8.54,73.0,,,1040.0,6235.0,1.36,1.23,0.08,4.26
TOI-5788 b,6.340758,0.064,1.528,3.72,0.061,175.1,910.0,5615.0,0.87,0.87,-0.32,4.42
TOI-5788 c,16.213362,0.1197,2.272,6.4,0.046,49.8,667.0,5615.0,0.87,0.87,-0.32,4.42
TOI-5789 c,12.927748,0.1009,2.86,5.0,0.067,,718.0,5185.0,0.833,0.821,-0.12,4.511
TOI-5795 b,6.1406325,0.064,5.62,23.66,0.25,,1136.78,5715.0,1.082,0.901,-0.27,4.32
TOI-5799 b,4.164507,0.0348,1.733,,,,505.0,3452.0,0.321,0.325,0.01,4.936
TOI-5799 c,14.010449,0.0782,1.76,,,,337.0,3452.0,0.321,0.325,0.01,4.936
TOI-5800 b,2.6278838,0.0344,2.46,9.5,0.3,,1108.0,4850.0,0.773,0.778,-0.04,4.56
TOI-5817 b,15.61031,0.1223,3.08,10.3,0.2,,950.0,5770.0,1.427,0.97,-0.24,4.12
TOI-5882 b,7.148972,0.0804,11.46678726,6995.40323807,0.0339,,1515.0,5920.0,2.26,1.334,0.18,3.856
TOI-5916 b,2.367128,0.0262,11.35469745,226.61165419,0.09,51.7,683.0,3613.0,0.48,0.477,0.09,4.755
TOI-5938 b,2.260424,0.0308,3.82,,,,1077.0,4650.0,0.712,0.744,0.07,4.59
TOI-6002 b,10.904821,0.05722,1.65,,0.15,1.6823,321.4,3229.0,0.2432,0.2101,-0.18,4.989
TOI-6008 b,0.8574347,0.010777,1.03,4.0,,41.5,707.0,3075.0,0.242,0.23,0.3,5.01
TOI-6016 b,4.023687,0.055,13.67495645,371.85923619,0.0,940.0,1890.0,6110.0,1.51,1.31,0.28,4.19
TOI-6019 b,14.547952,0.1212,12.3,149.0,0.48,,1095.0,5561.0,2.02,1.13,0.04,4.0
TOI-6029 b,5.7987,,14.39233122,519.64944544,0.091,,,6223.0,2.338,1.548,0.37,3.886
TOI-6034 b,2.576184,0.02949,11.92,254.0,0.04,43.0,714.0,3635.0,0.489,0.514,-0.09,4.77
TOI-6038 A b,5.8267311,0.069,6.41,78.5,,716.0,1439.0,6110.0,1.648,1.291,0.124,4.118
TOI-6041 b,26.04945,0.1651,4.55,28.9,,22.4,605.6,5445.0,0.879,0.885,0.104,4.498
TOI-6054.01,7.501428,0.0763,2.64,12.5,0.164,570.0,1360.0,6047.0,1.662,1.107,-0.07,4.1
TOI-6054.02,12.563636,0.1079,2.82,9.3,0.332,285.0,1143.0,6047.0,1.662,1.107,-0.07,4.1
TOI-6086 b,1.3888725,0.01541,1.18,,,26.8,634.0,3200.0,0.259,0.254,0.11,5.01
TOI-6130 b,2.392679,0.036,14.3474953,333.71982735,0.036,1150.0,1750.0,6110.0,1.51,1.31,0.28,4.19
TOI-615 b,4.6615983,0.0678,18.97680433,138.25535705,0.39,1286.0,1666.0,6850.0,1.732,1.449,-0.1,4.2
TOI-620 b,5.0988179,0.04825,3.76,,0.22,20.8,603.6,3708.0,0.55,0.577,0.35,4.718
TOI-622 b,6.402513,0.0708,9.2362001,96.30200732,0.42,602.0,1388.0,6400.0,1.415,1.313,0.09,4.2
TOI-6223 b,3.855219,0.04018,5.07,,,,714.0,3895.0,0.576,0.582,-0.12,4.682
TOI-6255 b,0.23818244,,1.079,1.44,0.0,,,3421.0,0.37,0.353,-0.14,4.85
TOI-628 b,3.4095675,0.0486,11.88154,2011.8639,0.072,,1586.0,6250.0,1.345,1.311,0.258,4.3
TOI-6303 b,9.485236,0.0761,11.59,2493.0,0.02,14.28,541.0,3977.0,0.609,0.644,0.44,4.67
TOI-6324 b,0.279221,,1.059,1.17,0.0,,1216.0,3247.0,0.293,0.269,-0.32,4.93
TOI-6330 b,6.8500246,0.05763,10.89,3179.0,0.34,9.97,495.0,3539.0,0.49,0.531,0.08,4.77
TOI-6383 A b,1.79058695,0.02292,11.29,331.0,0.05,51.3,745.0,3444.0,0.457,0.458,,4.81
TOI-640 b,5.003777,,19.2794468,181.16219199,0.013,,1816.0,6460.0,2.082,1.536,0.072,3.987
TOI-6420 b,6.961508,0.0753,11.93756445,2606.1929374,0.078,,1213.0,6020.0,1.312,1.165,0.24,4.268
TOI-6448 b,14.844261,0.131,8.47398941,,0.2,,745.0,5910.0,0.897,1.03,,
TOI-6478 b,34.005019,0.1136,4.6,,,,204.4,3230.0,0.234,0.23,-0.53,5.016
TOI-654.01,1.527561,0.01944,2.378,8.71,0.0,65.0,794.0,3521.0,0.43,0.419,0.12,4.793
TOI-6564 b,3.985413,0.0542,16.39873876,222.16205649,0.0,,1445.0,5943.0,1.7,1.18,0.19,4.04
TOI-6628 b,18.18424,0.134,10.98480109,235.19302118,0.67,,833.0,5463.0,1.01,0.97,0.36,4.416
TOI-663 b,2.598902,0.0295,2.27,4.45,,49.1,674.0,3681.0,0.512,0.514,0.07,4.7266
TOI-663 c,4.6955507,0.0437,2.26,3.65,,22.3,553.0,3681.0,0.512,0.514,0.07,4.7266
TOI-663 d,7.1027268,0.0576,1.92,5.2,,12.9,482.0,3681.0,0.512,0.514,0.07,4.7266
TOI-6651 b,5.056973,0.0633,5.09,61.0,0.091,817.0,1493.0,5940.0,1.721,1.323,0.225,4.087
TOI-669 b,3.945152,0.048,2.58606487,10.0,0.0,,1124.85,5597.0,0.9882,0.9245,0.001,4.412
TOI-6692 b,131.125,0.512,11.67975789,197.05361234,0.537,,467.0,5890.0,1.385,1.047,-0.008,4.176
TOI-6695 b,80.389,0.402,9.52763359,66.74396547,0.04,,599.0,6400.0,1.517,1.338,0.2,4.202
TOI-6716 b,4.7185898,0.0319,0.982,,0.88,4.4,369.0,3110.0,0.231,0.223,0.0,5.06
TOI-672 b,3.633581,0.0376,5.31,50.9,0.0,39.8,699.5,3810.0,0.54,0.54,-0.14,4.7
TOI-674 b,1.977143,0.025,5.25,23.6,0.0,38.4,635.0,3514.0,0.42,0.42,0.17,4.81
TOI-677 b,11.2365985,0.1041,13.11450742,392.20025424,0.46,,,6295.0,1.28,1.181,0.0,4.291
TOI-6884 b,4.808264,0.0629,10.39072511,8365.24367224,0.067,1230.0,1652.0,6330.0,1.84,1.41,0.094,4.057
TOI-6894 b,3.37077196,0.02604,9.5836785,53.39517238,0.029,5.54,417.9,3007.0,0.2276,0.207,0.142,5.039
TOI-700 b,9.977219,0.0677,0.914,,0.075,4.98,,3459.0,0.421,0.415,-0.07,4.809
TOI-700 c,16.051137,0.0929,2.6,,0.068,2.64,,3459.0,0.421,0.415,-0.07,4.809
TOI-700 d,37.42396,0.1633,1.073,,0.042,0.85,,3459.0,0.421,0.415,-0.07,4.809
TOI-700 e,27.80978,0.134,0.953,,0.059,1.27,,3459.0,0.421,0.415,-0.07,4.809
TOI-7009 b,2.3206612,0.0287,3.71,,,,872.0,4080.0,0.564,0.583,-0.11,4.63
TOI-7041 b,9.691,,11.43316031,114.41822652,0.04,,,4700.0,4.1,1.07,0.25,3.244
TOI-707 b,52.79918,0.275,2.416,,,,491.7,5424.0,0.978,0.99,0.16,4.39
TOI-712 b,9.531361,0.07928,2.049,,0.54,22.6,650.0,4622.0,0.674,0.732,-0.02,4.645
TOI-712 c,51.69906,0.2447,2.701,,0.089,3.08,369.9,4622.0,0.674,0.732,-0.02,4.645
TOI-712 d,84.8396,0.3405,2.474,,0.073,1.6,313.6,4622.0,0.674,0.732,-0.02,4.645
TOI-7149 b,2.65206166,0.02603,13.2,224.0,0.078,20.6,593.0,3363.0,0.351,0.344,-0.08,4.88
TOI-715 b,19.288004,0.083,1.55,,,0.67,234.0,3075.0,0.24,0.225,-0.25,5.0
TOI-7166 b,12.92063621,0.06191,2.01,,0.0,1.07,249.0,3099.0,0.222,0.19,-0.2,5.02
TOI-733 b,4.884765,0.0618,1.992,5.72,0.046,207.1,1055.8,5585.0,0.949,0.956,-0.04,4.47
TOI-7384 b,6.2340258,0.0439,3.56,,0.4,4.9,378.0,3185.0,0.319,0.318,0.0,4.93
TOI-7510 b,11.530869,0.1019,7.31,18.1,0.0572,,878.0,5720.0,1.035,1.063,0.25,4.439
TOI-7510 c,22.5687423,0.1595,10.81,131.0,0.0091,,702.0,5720.0,1.035,1.063,0.25,4.439
TOI-7510 d,48.864468,0.2672,10.52,190.0,0.04,,542.4,5720.0,1.035,1.063,0.25,4.439
TOI-756 b,1.2392495,0.018,2.81,9.83,0.0,127.0,934.0,3657.0,0.505,0.505,0.196,4.735
TOI-757 b,17.46819,0.122,2.5,10.5,0.39,,641.0,5278.0,0.78,0.8,-0.27,4.5
TOI-762 A b,3.4716826,0.03418,8.33948164,79.77493016,0.083,,555.4,3266.0,0.425,0.442,0.357,4.827
TOI-763 b,5.6057,0.06,2.28,9.79,0.04,,1038.0,5450.0,0.897,0.917,0.01,4.45
TOI-763 c,12.2737,0.1011,2.63,9.32,0.04,,800.0,5450.0,0.897,0.917,0.01,4.45
TOI-771 b,2.3260155,0.0208,1.36,2.47,0.055,14.0,543.0,3370.0,0.232,0.22,-0.13,4.8
TOI-776 b,8.24662,0.0653,1.798,5.0,0.052,,520.0,3725.0,0.547,0.542,-0.21,4.8
TOI-776 c,15.665323,0.1001,2.047,6.9,0.089,,420.0,3725.0,0.547,0.542,-0.21,4.8
TOI-778 b,4.633611,0.06,15.4,878.0,0.21,,1561.0,6643.0,1.71,1.4,0.0,4.05
TOI-782 b,8.0240015,0.0578,2.734,19.1,0.19,5.91,435.0,3370.0,0.413,0.397,0.34,4.804
TOI-784 b,2.7970365,0.038,1.93,9.67,0.0,,,5558.0,0.907,0.91,-0.13,4.48
TOI-791 b,139.29931,0.602,11.13051784,9.5,0.032,8.47,434.3,6294.0,1.474,1.28,-0.14,3.71
TOI-791 c,232.0157,0.863,12.94637271,18.6,0.028,4.12,362.8,6294.0,1.474,1.28,-0.14,3.71
TOI-813 b,83.8911,0.423,6.71,,0.0,23.1,610.0,5907.0,1.94,1.32,0.1,3.86
TOI-815 b,11.197259,0.0903,2.94,7.6,0.2,36.9,686.0,4869.0,0.77,0.776,-0.09,4.51
TOI-815 c,34.976145,0.193,2.62,23.5,0.22,8.03,469.0,4869.0,0.77,0.776,-0.09,4.51
TOI-824 b,1.392978,0.02177,2.926,18.467,,412.0,1253.0,4600.0,0.695,0.71,-0.092,4.605
TOI-833 b,1.0418777,0.0171,1.27,,,,1118.0,3920.0,0.6,0.61,,4.67
TOI-836 b,3.81673,0.0422,1.704,4.53,0.053,78.838,871.0,4552.0,0.665,0.678,-0.284,4.743
TOI-836.01,8.59545,0.075,2.587,9.6,0.078,26.707,665.0,4552.0,0.665,0.678,-0.284,4.743
TOI-837 b,8.3249113,0.0888,9.16894621,120.45696625,,164.0,995.3,5995.0,1.052,1.142,0.01,4.453
TOI-849 b,0.765548,0.0155,3.64,41.8,0.0,,,5257.0,0.97,0.97,,
TOI-858 B b,3.2797178,0.04435,14.06727078,349.6112477,0.15,908.9,1529.0,5842.0,1.308,1.081,0.153,4.238
TOI-871 b,14.362565,0.1054,1.664,,,24.78,621.0,4929.0,0.719,0.758,-0.07,4.604
TOI-880 c,6.3872703,0.0635,4.95,,,,805.0,5050.0,0.83,0.87,0.23,4.53
TOI-880.02,2.57571,0.0349,2.19,,,,1085.0,5050.0,0.83,0.87,0.23,4.53
TOI-892 b,10.62656,0.092,11.99363,301.9385,0.125,,1397.0,6261.0,1.39,1.28,0.24,4.26
TOI-904 b,10.8772,0.056,2.426,,,,429.43,3770.2,0.527,0.557,0.022,
TOI-904 c,83.9997,0.312,2.167,,,,217.26,3770.2,0.527,0.557,0.022,
TOI-905 b,3.739494,0.04666,13.125739,211.99261,0.024,337.0,1192.0,5570.0,0.918,0.968,0.14,4.498
TOI-907.01,4.5849129,0.055225481,9.6158851,,,1729.6714,1846.6,6272.0,2.059789,1.069357,,3.8399
TOI-908 b,3.183792,0.041657,3.186,16.137,0.132,80.884,1317.0,5626.0,1.028,0.95,0.08,4.45
TOI-912 b,4.6780691,0.041,1.93,5.1,0.58,15.0,551.0,3572.0,0.419,0.418,-0.19,4.98
TOI-913 b,11.098644,,2.4528,,,,712.01,4969.0,0.7325,0.82,-0.133,4.622
TOI-954 b,3.6849729,0.04963,9.550068,55.30242,0.14,1393.0,1526.0,5710.0,1.892,1.201,0.215,3.962
TOI-969 b,1.8237305,0.02636,2.765,9.1,,188.0,941.0,4435.0,0.671,0.734,0.175,4.55
WASP-132 c,1.01153624,0.01833,1.841,6.26,0.0,791.0,1329.0,4686.0,0.758,0.789,0.15,4.56
WD 1856+534 b,1.4079405,0.0204,10.4,4386.054,0.0,0.181,163.0,4710.0,0.0131,0.518,,7.915
Wolf 327 b,0.5734745,0.01,1.24,2.53,0.0,233.9,996.0,3542.0,0.406,0.405,-0.17,4.87
